mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
2.354508426836723,4.2291171055227785,2.8204550222696367,7.954966532646017,1.7433782206347352
3.542401803230677,8.306317967388821,4.640991457398077,21.53880170764193,2.661089808982247
1.135704212924401,2.577453612034944,1.456807413101726,2.122287838868143,0.932286368536106
2.303703954968365,3.69630557579012,2.598372408547758,6.7515391735022785,2.24679315490436
2.6269971911560868,6.368811858938258,3.4358764538028614,11.805247005796925,2.9647793450881395
0.9635385899400601,3.4317352184867005,1.4931263222034183,2.2294262140567063,0.568956420890272
2.367932759311503,5.126603082592364,3.0424314761545608,9.256389287096018,1.1315144654517972
1.9831975469576022,5.333769280208594,2.7119158281002838,7.354487458700848,1.261181734952869
2.3124784514325887,4.81533328909072,2.9805903904774342,8.883919075806423,1.142526442173768
2.353860559951464,7.9944194048842405,3.7094806018851347,13.760246335762101,1.1431131589332608
