mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
51.07966666666667,157.596,62.184986181400355,3866.9725063809533,45.119
47.44144680851064,127.01400000000001,55.35300639781544,3063.9553172765973,46.751999999999995
48.25477272727273,115.64599999999999,58.7138578430866,3447.3171028181823,45.027
39.23509523809524,111.94800000000001,47.54785204201682,2260.7982338095235,32.083
40.0155,107.83000000000001,48.67246551929821,2369.008899727273,38.873999999999995
50.23629787234041,102.3,58.898357975161005,3469.0165721702124,48.110000000000014
47.19438095238095,139.442,58.39947412352923,3410.4985779047606,41.43299999999999
37.79897777777778,124.202,47.422597867823875,2248.9027885333335,32.593999999999994
55.496851063829766,151.672,66.49445497022465,4421.512541787234,42.385999999999996
47.007999999999996,162.898,56.807519726914755,3227.094297523809,42.29400000000001
