mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
3.610657487698932,12.399083991953589,4.5970599419483165,21.132960109865856,3.0037159655037726
3.8706310612276513,24.875411909567553,6.055815934324237,36.672906630415326,2.250360339412264
3.7267922811310146,26.94543551913189,5.918392537514958,35.02737022811274,2.2768051152371704
3.2694501889870047,15.671778597402465,4.449685187703609,19.799698269668898,2.7356467750236995
3.335824856406822,24.99113560425536,5.082708570862662,25.833926416320768,2.3547777714406983
3.211624716049656,14.6101059750931,4.351086699257251,18.931955464453356,2.7895636039248597
2.9100993924927008,16.40867930343016,4.2966509281299325,18.461209198199807,2.139207747260638
3.148885458005225,9.110260908913475,3.874115482706295,15.00877077334463,2.8392791404240825
3.5017710117141325,13.288522804274429,4.5368456645907544,20.582968584315925,3.5090885246857937
2.9771668378484883,17.63458359696812,4.45462917565152,19.843721092565737,1.9175928714788775
