mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
49.1663829787234,112.88999999999999,59.12816566128266,3496.1399744680853,49.769999999999996
54.62978723404255,165.17,65.59741915654914,4303.0214000000005,43.53
48.2623404255319,127.25999999999999,57.17363599764746,3268.8246531914897,44.97999999999999
35.76866666666667,161.49,49.37136711810916,2437.5318911111103,23.24000000000001
55.097727272727255,156.46,69.01959175085395,4763.704045454546,45.535
41.25840909090909,118.75999999999999,50.738476770592946,2574.393025,37.665000000000006
40.39738095238095,118.59,50.11314091989389,2511.3268928571433,36.38
48.10404761904762,149.31,59.19025690014162,3503.486511904762,42.025000000000006
50.684523809523796,137.7,60.91980589266515,3711.22275,47.405
51.0197619047619,143.82,59.97656794433099,3597.188702380952,48.285000000000004
