mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
44.74729674136884,122.45202610292466,52.433784523031214,2749.3017594076678,42.04406139053586
52.096144364755254,139.63048031738984,64.44120683244343,4152.669138021753,43.35073587250807
44.31118577948863,121.76016877427702,51.62545537873133,2665.1876430613797,42.878265296300924
34.61775141948227,128.87548961057496,46.400558129770175,2153.011794754181,24.879567671989832
49.641056342203804,153.3513494367042,61.19743511074377,3745.126064133694,39.89126986668757
37.72662694918298,111.39480163565301,49.02680134015853,2403.62724964737,27.90439848034788
38.852653040548525,100.72654470747489,46.21437307582864,2135.7682787918748,35.310449694883964
46.29093515777282,155.26881021679617,56.48870835884492,3190.974172050636,37.77966224189874
47.97516424555581,132.734727549272,59.11522507954079,3494.6098362047683,42.56141471232134
50.57249230047641,157.46345565267563,61.11303648799886,3734.8032287834803,47.43140856564864
