accuracy,f1-score,mcc,precision,recall,runtime
0.7,0.8124999999999999,0.11713432837257062,0.7358490566037735,0.9069767441860465,0.16808032989501953
0.6779661016949152,0.8,0.03357819267272286,0.7169811320754716,0.9047619047619048,0.15921854972839355
0.7966101694915254,0.8666666666666666,0.44091737106149526,0.8863636363636364,0.8478260869565217,0.1642470359802246
0.7413793103448276,0.8351648351648351,0.24099236336277557,0.8085106382978723,0.8636363636363636,0.17007017135620117
0.6724137931034483,0.7912087912087911,0.16489291159398697,0.6792452830188679,0.9473684210526315,0.1583724021911621
0.6551724137931034,0.75,0.24044074834338577,0.6666666666666666,0.8571428571428571,0.16411495208740234
0.7241379310344828,0.8181818181818182,0.2857738033247041,0.75,0.9,0.16767096519470215
0.603448275862069,0.7472527472527473,-0.16534358557860557,0.7083333333333334,0.7906976744186046,0.17883658409118652
0.75,0.8409090909090908,0.26919095102908275,0.8043478260869565,0.8809523809523809,0.1619255542755127
0.7454545454545455,0.8372093023255814,0.26562660124542986,0.8,0.8780487804878049,0.16453862190246582
