index,t,AveExpr,lods,logFC,CI.L,CI.R,adj.P.Val,P.Value,GENE,EFFECTSIZE,P,SNP
FOXA1,37.89328886831457,7.364884883049329,167.40716984769873,6.714711295795112,6.364554500985646,7.064868090604579,4.6826695129607864e-74,2.754997654268863e-78,FOXA1,6.714711295795112,2.754997654268863e-78,0
ESR1,26.84709054963777,7.821806876393711,123.57664751571465,6.882551080483594,6.375969108804735,7.389133052162453,5.8441323965429445e-55,6.876663407122368e-59,ESR1,6.882551080483594,6.876663407122368e-59,0
SPDEF,24.805160710196333,6.4393131233640855,114.05017721051752,5.686277495506616,5.233292810690657,6.139262180322574,5.914761811065181e-51,1.04396572531597e-54,SPDEF,5.686277495506616,1.04396572531597e-54,0
MLPH,24.063012070844778,7.339404125448436,110.51234340933863,5.446735414586463,4.999450960012899,5.894019869160028,1.6588397327453852e-49,3.903841225499524e-53,MLPH,5.446735414586463,3.903841225499524e-53,0
XBP1,23.108838687655123,10.597151208483444,105.82744259126292,3.389262439551217,3.0994449487905844,3.67907993031185,1.5412428197470978e-47,4.5338672111169554e-51,XBP1,3.389262439551217,4.5338672111169554e-51,0
CT62,21.750574945383857,0.18265414417805395,97.45363296363541,6.152186663174714,5.59325813519249,6.711115191156938,1.3578354505350088e-44,4.7932062735836047e-48,CT62,6.152186663174714,4.7932062735836047e-48,0
PRR15,21.403690988324986,4.180485294614047,96.96428119693525,5.307676936976403,4.817657482240074,5.797696391712732,6.879452821056101e-44,2.9450274098231273e-47,PRR15,5.307676936976403,2.9450274098231273e-47,0
SLC7A8,21.3856522335112,6.77797968548889,96.99502639547606,3.663520579644473,3.325008906323482,4.0020322529654635,6.879452821056101e-44,3.2379609677265876e-47,SLC7A8,3.663520579644473,3.2379609677265876e-47,0
DNALI1,20.77676105107537,4.502385515350774,93.7012925109086,5.592767997048341,5.060847809338653,6.124688184758029,1.5380329128364905e-42,8.143964355785382e-46,DNALI1,5.592767997048341,8.143964355785382e-46,0
AGR2,20.713748633109425,7.496963358782628,93.42230402186527,7.499962832731171,6.78448213177313,8.215443533689212,1.937806441749439e-42,1.1400873340880384e-45,AGR2,7.499962832731171,1.1400873340880384e-45,0
GATA3,20.392860208664782,8.607901641851539,91.74141549198893,4.494449344990464,4.058941620754906,4.929957069226022,9.847296246813942e-42,6.372904554624544e-45,GATA3,4.494449344990464,6.372904554624544e-45,0
CA12,19.604390983732394,8.118626150423518,87.47859617504135,5.0595228514884205,4.5495421750284635,5.5695035279483776,6.545264816144529e-40,4.621002400054971e-43,CA12,5.0595228514884205,4.621002400054971e-43,0
FOXC1,-19.356254890500423,3.3317076090459437,86.06630427097137,-4.1911427476203365,-4.619009592630401,-3.763275902610272,2.363992717461619e-39,1.8080782095076216e-42,FOXC1,-4.1911427476203365,1.8080782095076216e-42,0
B3GNT5,-19.274448884582608,2.929678466343057,85.57712436745736,-3.237339135993791,-3.5692364537369254,-2.9054418182506563,3.447641896234707e-39,2.839735632599041e-42,B3GNT5,-3.237339135993791,2.839735632599041e-42,0
SLC44A4,19.22255840990358,5.806722855959521,85.3691647864785,6.376534714401991,5.7210371936645075,7.032032235139475,4.063210518638776e-39,3.782933126281904e-42,SLC44A4,6.376534714401991,3.782933126281904e-42,0
AGR3,19.220564681243825,4.993829553540452,85.23758329532124,9.214116848223782,8.26682219281315,10.161411503634413,4.063210518638776e-39,3.824873112797577e-42,AGR3,9.214116848223782,3.824873112797577e-42,0
TBC1D9,18.899059948314633,8.200950628073462,83.59463234902765,4.097881000893576,3.669414715540468,4.526347286246684,2.277712327588652e-38,2.2781143477676697e-41,TBC1D9,4.097881000893576,2.2781143477676697e-41,0
GPR77,18.670086552183708,1.7578900280857344,81.93584856890733,4.475638393007426,4.0019353510172655,4.949341434997586,7.726211830381697e-38,8.182138786072279e-41,GPR77,4.475638393007426,8.182138786072279e-41,0
KCNJ11,18.270492202318326,3.6580316573982836,80.05653608783962,3.6805162240046734,3.282449381960621,4.078583066048726,6.921610979104087e-37,7.73728355609682e-40,KCNJ11,3.6805162240046734,7.73728355609682e-40,0
THSD4,17.783086807404835,6.5112799605856235,77.33974877028012,4.298926815990512,3.821232121702794,4.776621510278231,1.0455656250218552e-35,1.23029431666983e-38,THSD4,4.298926815990512,1.23029431666983e-38,0
ROPN1,-17.69975120815663,-2.1748373505164276,76.07929194392904,-7.3767207342866215,-8.200277794732033,-6.55316367384121,1.6025123040730536e-35,1.9799234209292302e-38,ROPN1,-7.3767207342866215,1.9799234209292302e-38,0
C6orf97,17.643157152309648,3.915331026488951,76.529906489315,4.5358313856597015,4.027814540031361,5.043848231288042,2.1141230374765955e-35,2.736406826174331e-38,C6orf97,4.5358313856597015,2.736406826174331e-38,0
SIDT1,17.498410913711712,4.65759910131072,75.72648765750262,4.170536284373824,3.6995689268768324,4.641503641870816,4.6343684618906455e-35,6.271134589838493e-38,SIDT1,4.170536284373824,6.271134589838493e-38,0
IFRD1,-16.75239838407916,4.78624879882855,71.42938010431568,-1.8971068751070206,-2.1208822636697144,-1.6733314865443267,3.3130705158214464e-33,4.6781015696719836e-36,IFRD1,-1.8971068751070206,4.6781015696719836e-36,0
BCL11A,-16.57227835234823,0.9871368609059004,70.25951201567563,-4.896662595418172,-5.480531672940761,-4.3127935178955825,9.092398045624043e-33,1.3373533631852742e-35,BCL11A,-4.896662595418172,1.3373533631852742e-35,0
GPR160,16.506966827585707,5.2550866732487735,70.00872313244031,2.872787005235928,2.5288858272934127,3.216688183178443,1.2806481651746954e-32,1.958984073338947e-35,GPR160,2.872787005235928,1.958984073338947e-35,0
