mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
51.268,77.75,54.47908543652325,2967.97075,49.559000000000005
46.43679999999999,82.976,52.35945966107748,2741.513016,46.751999999999995
19.1915,50.66399999999999,27.137728147359717,736.4562889999997,11.324000000000005
34.533500000000004,66.388,40.11138338427135,1608.923077,30.009
18.641,32.79600000000001,21.066304706806083,443.78919400000007,17.760999999999996
76.85239999999999,85.17599999999999,77.17663862594691,5956.2335496,78.936
49.620999999999995,89.946,57.106438533671486,3261.1453219999994,48.471999999999994
61.377199999999995,124.202,70.69778666408165,4998.177039200001,61.653999999999996
89.58919999999999,145.012,99.85753342437415,9971.5269816,73.94999999999999
28.941500000000005,41.02600000000001,31.60046808197626,998.5895830000003,33.283
