accuracy,f1-score,mcc,precision,recall
0.6964285714285714,0.8045977011494253,0.1297498240269205,0.7777777777777778,0.8333333333333334
0.7966101694915254,0.8749999999999999,0.3431335262999692,0.84,0.9130434782608695
0.6896551724137931,0.8085106382978724,0.2604940361258638,0.6785714285714286,1.0
0.7068965517241379,0.8089887640449438,0.22715611199997865,0.7346938775510204,0.9
0.5862068965517241,0.7142857142857143,0.041958772431561986,0.6122448979591837,0.8571428571428571
0.7333333333333333,0.8333333333333334,0.23234842185378762,0.7547169811320755,0.9302325581395349
0.7241379310344828,0.8333333333333334,0.09917017107805809,0.7547169811320755,0.9302325581395349
0.7413793103448276,0.8387096774193548,0.2033743671111674,0.7959183673469388,0.8863636363636364
0.7288135593220338,0.8333333333333334,0.20953512687653467,0.7407407407407407,0.9523809523809523
0.7454545454545455,0.8372093023255814,0.26562660124542986,0.8,0.8780487804878049
