mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
2.583119999999987,4.45079999999999,2.972071369264196,8.833208223999952,3.322799999999985
2.301279999999989,6.127799999999933,3.0998786711740585,9.609247775999847,1.888599999999986
1.5518799999999833,4.027400000000002,2.0772166088301836,4.314828839999968,1.126200000000022
1.4563200000000123,4.158399999999972,1.9915037253291745,3.9660870879999806,0.831200000000031
2.18304000000001,3.340200000000017,2.2956382293384197,5.269954880000034,2.039800000000003
2.2295000000000056,5.712,2.8777635842206846,8.28152324666668,2.239500000000044
2.756879999999994,4.484199999999966,3.1447519864052857,9.889465055999992,2.9945999999999913
2.5183200000000006,4.243199999999989,2.7562699403360296,7.597023983999979,2.2206000000000437
2.7053999999999947,4.431599999999996,3.057059856790506,9.345614967999987,2.828200000000013
3.647639999999994,8.677600000000005,4.480335818663595,20.073409047999988,2.7710000000000115
