accuracy,f1-score,mcc,precision,recall
0.8545454545454545,0.8918918918918919,0.6951630269130602,0.825,0.9705882352941176
0.9137931034482759,0.923076923076923,0.8255957797908076,0.9375,0.9090909090909091
0.9310344827586207,0.9473684210526315,0.8473684210526315,0.9473684210526315,0.9473684210526315
0.9107142857142857,0.9295774647887323,0.808290376865476,0.9428571428571428,0.9166666666666666
0.9642857142857143,0.967741935483871,0.9302605094190635,1.0,0.9375
0.9666666666666667,0.9722222222222222,0.9305555555555556,0.9722222222222222,0.9722222222222222
0.9636363636363636,0.9722222222222222,0.9226870278438684,0.9459459459459459,1.0
0.896551724137931,0.925,0.7696109830056399,0.8809523809523809,0.9736842105263158
0.9482758620689655,0.9629629629629629,0.8780267501708717,0.9512195121951219,0.975
0.9272727272727272,0.9444444444444445,0.8421349857305147,0.918918918918919,0.9714285714285714
