mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
47.97516424555583,132.73472754927258,59.115225079540885,3494.609836204779,42.561414712321266
44.31118577948862,121.76016877427699,51.6254553787313,2665.187643061377,42.87826529630097
49.641056342203775,153.351349436704,61.19743511074374,3745.1260641336903,39.89126986668738
38.852653040548546,100.7265447074752,46.21437307582864,2135.768278791875,35.31044969488389
37.726626949182986,111.39480163565275,49.026801340158514,2403.627249647369,27.90439848034785
44.74729674136888,122.45202610292478,52.433784523031264,2749.3017594076728,42.044061390535845
46.29093515777298,155.2688102167956,56.48870835884503,3190.974172050648,37.77966224189847
34.617751419482204,128.87548961057516,46.40055812977014,2153.011794754178,24.879567671989946
52.096144364755226,139.63048031738992,64.44120683244338,4152.669138021747,43.35073587250872
50.572492300476355,157.46345565267526,61.11303648799878,3734.80322878347,47.43140856564874
