mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
44.74729674136886,122.45202610292468,52.43378452303121,2749.301759407667,42.04406139053586
52.09614436475527,139.6304803173898,64.44120683244341,4152.669138021751,43.35073587250801
44.31118577948863,121.76016877427702,51.62545537873133,2665.1876430613797,42.87826529630088
34.61775141948226,128.87548961057502,46.400558129770175,2153.011794754181,24.879567671989747
49.64105634220382,153.3513494367042,61.19743511074376,3745.1260641336935,39.89126986668762
37.72662694918299,111.39480163565287,49.026801340158514,2403.627249647369,27.90439848034785
38.85265304054852,100.72654470747489,46.21437307582862,2135.7682787918734,35.31044969488395
46.290935157772836,155.2688102167961,56.48870835884493,3190.974172050637,37.77966224189879
47.975164245555824,132.73472754927207,59.11522507954081,3494.60983620477,42.56141471232135
50.572492300476426,157.4634556526757,61.113036487998876,3734.803228783482,47.43140856564861
