mean_absolut_error,max_error,root_mean_squared_error,mean_squared_error,median_absolut_error
3.5998775510204157,13.938400000000016,4.894518193627964,23.956308347755147,2.546600000000039
3.868490196078443,27.531199999999995,6.072056763084296,36.869873334117734,2.4160000000000714
3.9083882352941157,24.477200000000053,6.219681986889631,38.68444401803935,1.9863999999999606
3.0436857142857185,16.561600000000055,4.060052194999778,16.484023826122513,2.446599999999986
3.2612360000000025,27.39200000000006,5.460142667366861,29.813157948000093,2.0093999999999967
3.0135925925926,14.497800000000062,4.018434268883021,16.14781397333342,2.315700000000054
3.2707591836734795,16.90480000000005,4.364235063722931,19.046547691428692,2.4207999999999643
3.344325490196086,13.935200000000002,4.652890365876117,21.649388756862784,2.2630000000000194
3.2936075471698163,13.843200000000053,4.660293903923178,21.718339270943535,2.290799999999951
4.018506122448984,21.756800000000045,5.649239330553945,31.91390501387758,3.2432000000000727
